funcaoHash,tamanhoConjuntoDados,maiorGap
HashRehashing,1000,1
HashRehashing,10000,0
HashRehashing,100000,0
HashEncadeamento,1000,6
HashEncadeamento,10000,0
HashEncadeamento,100000,0
HashDuplo,1000,1
HashDuplo,10000,0
HashDuplo,100000,0
