funcaoHash,tamanhoConjuntoDados,tempoBusca
HashRehashing,1000,1253157
HashRehashing,10000,72744388
HashRehashing,100000,431718881
HashEncadeamento,1000,162841
HashEncadeamento,10000,4545634
HashEncadeamento,100000,390426991
HashDuplo,1000,540449
HashDuplo,10000,39647830
HashDuplo,100000,411297085
