funcaoHash,tamanhoConjuntoDados,tempoBusca
HashRehashing,100000,7.078843
HashRehashing,1000000,206.01079
HashRehashing,10000000,2191.8745
HashEncadeamento,100000,1.553451
HashEncadeamento,1000000,44.586014
HashEncadeamento,10000000,2672.2412
HashDuplo,100000,2.490291
HashDuplo,1000000,110.052216
HashDuplo,10000000,2154.2864
