funcaoHash,tamanhoConjuntoDados,tempoInsercao
HashRehashing,100000,9.51629
HashRehashing,1000000,217.58722
HashRehashing,10000000,137.8924
HashEncadeamento,100000,5.142405
HashEncadeamento,1000000,124.439026
HashEncadeamento,10000000,6008.7437
HashDuplo,100000,7.828392
HashDuplo,1000000,111.10881
HashDuplo,10000000,123.944435
