funcaoHash,tamanhoConjuntoDados,tempoBusca
HashRehashing,100000,2.264874
HashRehashing,1000000,33.93197
HashRehashing,10000000,1933.6252
HashEncadeamento,100000,1.913792
HashEncadeamento,1000000,28.15668
HashEncadeamento,10000000,659.90094
HashDuplo,100000,2.871961
HashDuplo,1000000,56.63183
HashDuplo,10000000,2605.3652
