funcaoHash,tamanhoConjuntoDados,mediaGap
HashRehashing,100000,100.48416105883905
HashRehashing,1000000,10.464828625445616
HashRehashing,10000000,1.203776487596889
HashEncadeamento,100000,100.48676985536666
HashEncadeamento,1000000,10.51652124591894
HashEncadeamento,10000000,1.5822816329374243
HashDuplo,100000,100.02324782525233
HashDuplo,1000000,10.011450576978266
HashDuplo,10000000,1.111731210074953
