funcaoHash,tamanhoConjuntoDados,tempo
HashRehashing,1000,135040
HashRehashing,10000,2149894
HashRehashing,100000,4034087
HashEncadeamento,1000,133086
HashEncadeamento,10000,1918557
HashEncadeamento,100000,66298963
HashDuplo,1000,107950
HashDuplo,10000,6843530
HashDuplo,100000,4102836606
