funcaoHash,tamanhoConjuntoDados,tempoInsercao
HashRehashing,1000,137274
HashRehashing,10000,2638909
HashRehashing,100000,4182482
HashEncadeamento,1000,133657
HashEncadeamento,10000,2333775
HashEncadeamento,100000,96479669
HashDuplo,1000,23654
HashDuplo,10000,1832788
HashDuplo,100000,4100318931
