funcaoHash,tamanhoConjuntoDados,tempoBusca
HashRehashing,1000,133567
HashRehashing,10000,1720731
HashRehashing,100000,4374891434
HashEncadeamento,1000,8857
HashEncadeamento,10000,865420
HashEncadeamento,100000,6432382
HashDuplo,1000,114462
HashDuplo,10000,1410006
HashDuplo,100000,4116528699
