funcaoHash,tamanhoConjuntoDados,maiorGap
HashRehashing,1000,126
HashRehashing,10000,1
HashRehashing,100000,0
HashEncadeamento,1000,127
HashEncadeamento,10000,9
HashEncadeamento,100000,1
HashDuplo,1000,127
HashDuplo,10000,1
HashDuplo,100000,0
