funcaoHash,tamanhoConjuntoDados,colisoes
HashRehashing,100000,159238
HashRehashing,1000000,159790
HashRehashing,10000000,161798
HashEncadeamento,100000,99215
HashEncadeamento,1000000,9989186
HashEncadeamento,10000000,996848624
HashDuplo,100000,168697
HashDuplo,1000000,140452
HashDuplo,10000000,168167
