funcaoHash,tamanhoConjuntoDados,tempoInsercao
HashRehashing,100000,66.61129
HashRehashing,1000000,47.546295
HashRehashing,10000000,46.973976
HashEncadeamento,100000,17.97094
HashEncadeamento,1000000,626.75616
HashEncadeamento,10000000,23869.312
HashDuplo,100000,28.007128
HashDuplo,1000000,16.3705
HashDuplo,10000000,55.320152
