funcaoHash,tamanhoConjuntoDados,mediaGap
HashRehashing,100000,1.2093360744951023
HashRehashing,1000000,1.208313194780087
HashRehashing,10000000,1.1993283761093787
HashEncadeamento,100000,1.5799715847935591
HashEncadeamento,1000000,1.0
HashEncadeamento,10000000,0.0
HashDuplo,100000,1.1134617525887986
HashDuplo,1000000,1.110864252388358
HashDuplo,10000000,1.1111111111111112
